,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
1315,2021-02-01,3066.908091888669,3131.214229299238,3011.604910329368,3105.838134765625,3985846,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1316,2021-02-02,3140.118326105789,3189.584588331778,3116.3745202373143,3169.25390625,2881837,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1317,2021-02-03,3178.701849679628,3201.4563291513464,3128.8892295266646,3165.89013671875,2505866,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1318,2021-02-04,3181.719289910824,3203.286627117755,3142.0967681889533,3154.413818359375,2057261,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1319,2021-02-05,3164.8015882961668,3171.628076639701,3095.598343497388,3124.2392578125,2366135,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1320,2021-02-08,3155.452786200392,3191.56315669618,3121.4693683117985,3179.790283203125,2526592,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1321,2021-02-09,3160.894188409341,3211.1519596493195,3130.2251055171064,3142.9873046875,2658751,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1322,2021-02-10,3151.000585259766,3185.0332736170767,3123.596327063771,3178.99853515625,2127983,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1323,2021-02-11,3180.6805381846293,3184.934684878521,3151.05029656349,3171.776611328125,1165882,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1324,2021-02-12,3150.2091268600243,3210.854807488295,3148.032659814437,3156.73876953125,2777404,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1325,2021-02-15,3174.744503269075,3174.744503269075,3098.121316369303,3106.332763671875,2630853,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1326,2021-02-16,3116.374408113309,3133.8359014370426,3066.908147667066,3075.6142578125,3435770,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1327,2021-02-17,3071.95381698758,3099.407591661623,3013.039452218007,3040.29541015625,3678426,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1328,2021-02-18,3032.28161977739,3064.8303209745923,2998.644564288832,3024.71337890625,4189909,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1329,2021-02-19,3025.356586690285,3054.1953208488994,2983.9532287445795,3039.058837890625,3725028,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
