Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs),RSI,stockRSI,macd_strength,macd,macd_h,ema,CI,Bollinger_centralBand,Bollinger_upperBand,Bollinger_lowerband
2020-12-17,2393.539727858085,2421.522655782939,2378.7987211833847,2403.033935546875,1184865,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,58.51698191509761,1.5302649403937152,2385.3968907844683,48.95326963822845,-2336.44362114624,2350.948861764771,68.21786064653539,2400.821027483259,2477.5155829533737,2324.1264720131444
2020-12-18,2403.533672132663,2426.5196490387134,2365.706651670997,2386.294189453125,1065060,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,56.39559542513528,1.3741778771752835,2385.5763505181994,45.8102130853008,-2339.766137432898,2354.162073372803,74.33407298762769,2403.6657191685267,2474.398627082224,2332.93281125483
2020-12-21,2383.5459632408647,2432.516089948958,2303.294870061694,2334.026123046875,1241568,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,50.267853430714304,0.9233117777657354,2375.2663050239344,38.65611831672141,-2336.610186707213,2352.3315324340824,67.59079268633326,2394.560564313616,2466.0386556396807,2323.0824729875512
2020-12-22,2338.5734082327904,2423.521587591674,2249.6276674923124,2406.8818359375,1249868,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,57.24190968964168,1.4364478636825588,2381.589411206648,38.42238448854869,-2343.167026718099,2357.2906509343934,58.411522694536245,2394.332135881697,2465.61676038288,2323.047511380513
2020-12-23,2388.542818149946,2459.39949285735,2388.542818149946,2432.316162109375,1093766,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,59.38329227758765,1.594006196858098,2391.734761387193,39.8303468592344,-2351.9044145279586,2364.111151950301,57.48747055061673,2397.4659423828125,2471.4419881887243,2323.4898965769007
2020-12-24,2433.515426119753,2451.354640905884,2403.833582451679,2411.578857421875,543157,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,56.8819826872659,1.409965207627345,2395.7035805941296,38.82528627020838,-2356.878294323921,2368.4263979022626,56.85781469259052,2395.9240373883927,2467.557526135693,2324.2905486410928
2020-12-28,2424.0210796640617,2427.9686223992785,2374.051566580902,2387.343505859375,784636,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,54.01829440306848,1.1992611721447102,2394.031565647179,35.66208783484353,-2358.3694778123354,2370.1461349892725,56.24181583309946,2392.7902308872767,2461.553963618973,2324.0264981555806
2020-12-29,2401.5348680890684,2414.127283346169,2369.5543787928345,2375.051025390625,585199,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,52.572571298016825,1.0928879701080776,2390.2354575958684,31.79679617048532,-2358.438661425383,2370.592034116668,55.48009934618076,2387.51131766183,2448.6226553427878,2326.399979980873
2020-12-30,2381.397390446252,2402.534398728535,2349.7665395088525,2394.88916015625,569168,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,54.68059016117021,1.2479914720468084,2391.166198107945,29.988606372926824,-2361.1775917350183,2372.80086375663,63.92479368857232,2384.20263671875,2437.2772782463207,2331.1279951911797
2020-12-31,2388.642747418937,2426.519540508087,2383.545759518858,2411.328857421875,855723,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,56.409661137969145,1.3752128021258756,2395.198729970731,29.541611796337747,-2365.6571181743934,2376.3034086352886,62.97157311146012,2385.612479073661,2440.5485199880777,2330.676438159244
2021-01-01,2404.0332889471943,2428.518350505792,2393.539691136367,2413.377685546875,423934,0.0,0,2021,2846.17,11.82,2857.99,2421.76,2389.31,62.1,198.72,97.41,276.72,101.31,175.41,12.2,56.6317347826452,1.3915525040989536,2398.83452108596,29.018185106174315,-2369.816335979785,2379.673797445433,61.99023641165888,2389.535086495536,2443.959899202992,2335.11027378808
2021-01-04,2416.625707337728,2427.518963674348,2396.787712899137,2407.781005859375,527018,0.0,0,2021,2846.17,11.82,2857.99,2421.76,2389.31,62.1,198.72,97.41,276.72,101.31,175.41,12.2,55.79552403725668,1.3300259128356575,2400.6238180406426,27.830942623354986,-2372.792875417288,2382.228998210337,61.03023349661586,2393.279227120536,2444.70690641483,2341.8515478262416
